Food,Serving,Total Weight (gms),Ingredients
Chicken Wheat Noodles,2,578,Chicken-150 gms; carrot-125 gms; Capsicum-125 gms; Peas-125 gms;Garlic-3 gms; soya sauce-15 gms; VINEGAR-15 gms; Common salt-15 gms; Ginger-5 gms
Ragi Roti (30% Oats Bran + 70% Ragi atta),1,44,Ragi flour-24 gms; Oats-15 gms; Common salt-2.5 gms
Wheat Roti (20% Quinoa flour + 80% wheat flour),2,105,Atta-30 gms; Quinoa Flour-75 gms
Jau Roti (20% Jau atta and 80% wheat atta),1,99,Barley-24 gms; Atta-75 gms
Jau Roti (50% Jau atta & 50% Oats atta),1,150,Barley-75 gms; Oats Atta-75 gms
20% flaxseed flour 80% wheat flour Roti,1,170,Atta-150 gms; Flaxseed flour-20 gms
JAWAR ROTI (20% JAWAR & 80% WHEAT),1,160,Atta-135 gms; Jowar Roti-25 gms
Baba Ganoush with Pita Bread,2,322,Brinjal-100 gms ;Garlic-3 gms;Lemon-4 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Black pepper-15 gms;Parsley-15 gms; Wheat-125 gms; Yoghurt-30 gms
Vermicelli Rolls,2,819,carrot-75 gms; Peas-100 gms; Coriander Powder-15 gms; Vermicelli-350 gms; Turmeric powder-15 gms; Cumin seeds-7 gms; Red chilli Powder-7 gms; Coriander Leaves-75 gms; Common salt-15 gms;Onion-160 gms
Wheat Pasta (Veg),1,233,Common salt-15 gms; Onion-62 gms; Capsicum-62 gms; Zucchini-62 gms; Garlic-2 gms; Black pepper-15 gms; CHEESE-15 gms
Wheat Pasta (Non-veg),1,326,Common salt-15 gms; Chicken-30 gms; Onion-62 gms; Capsicum-62 gms; Zucchini-62 gms; carrot-62 gms; Garlic-3 gms; Black pepper-15 gms; CHEESE-15 gms
BAJRA ROTI (100%),1,0,Bajra-200 grams
BAJRA ROTI (50% BAJRA ATTA & 50% NORMAL ATTA),1,300,Atta-150 gms; Bajra-150 gms;
BAJRA ROTI (20% BAJRA & 80% WHEAT),1,175,Atta-160 gms; Bajra-40 grams; Common salt-15 gms
OATS BREAD,1,202,Milk-45 gms; Cooking oil-7 gms; Oats-150 gms
Besan Roti (20% Besan & 80% Wheat),1,415,Wheat-25 gms; Common salt-15 gms; Onion-25 gms; Besan-350 gms
Oats bran roti (50% Oats bran and 50% Normal (Wheat) atta),1,300,Atta-150 gms; Oats Bran-150 gms
Oats bran roti (20% Oats bran and 80% Normal (Wheat) atta),1,200,Atta-160 gms; Oats Bran-40 gms
Quinoa Flour Roti (20% Quinoa Flour & 80% Wheat),1,200,Wheat-160 gms; Quinoa Flour-40 gms
Ragi Roti (25% Ragi & 75% Normal Atta),1,100,Wheat-75 gms; Ragi flour-25 gms
Dal peetha,4,404,Atta-200 gms; Gram dal-50 gms; Cumin seeds-15 gms; Tomato-120 gms; Ginger-4 gms; Chillies-2 ; Mustard oil-15 gms
Tawa Roti,2,101,Atta-100 gms; Common salt-1 gms
Missi Roti(1/3 Besan & 1/3 Wheat Atta & 1/3 Wheat Bran),1,728,Besan-250 gms; Atta-250 gms; Onion-160 gms; Ajwain-15 gms; Red chilli Powder-15 gms; CORIANDER-1 gms; Cumin seeds-15 gms; Common salt-7 gms; Olive oil-15 gms
Open Sandwich with one ,1,380,Bread-25 gms; carrot-62 gms; Beetroot-62 gms; CUCUMBER-62 gms; TOMATO-62 gms; Onion-62 gms; Coriander leaves-15 gms; Common salt-15 gms; Chat Masala-15 gms
50% Barley Atta & 50% Oats Atta Roti,1,250,Barley Flour-125 gms; Oats Flour-125 gms
Garlic Toast,2,105,Bread-60 gms; Garlic-5 gms; Butter-30 gms; Common salt-10 gms
Ragi Roti (50% Ragi atta + 50% Wheat atta),4,627,Ragi flour-200 gms; Atta-250 gms; Onion-125 gms; Coriander leaves-20 gms; Chillies-15 gms; Cumin seeds-1 gms; Common salt-1 gms; Olive oil-15 gms
Quinoa Flour Roti (50% Quinoa Flour + 50% Normal Atta),2,535,Quinoa-350 gms; Atta-150 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Olive oil-15 gms
Oats Bran Roti,1,289,Common salt-15 gms; Oats Flour-250 gms; Cumin seeds-24 gms
Bajra Roti(50% Bajra & 50 % Wheat Atta),6,515,Bajra-250 gms; Atta-250 gms; Common salt-15 gms;
Amaranth Flour roti,6,30,Common salt-15 gms;Olive oil-15 gms; Amaranth Flour-1 gram
Amaranth Flour Roti 50% Amaranth Flour and 50% Wheat Flour,6,180,Amaranth Flour-1 gram; Atta-150 gms; Common salt-15 gms ; Olive oil-15 gms
Bread Poha with Brown Bread,1,434,Bread-100 gms; Onion-125 gms; Tomato-90 gms; Mustard seeds-24 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Coriander Powder-5 gms; Olive oil-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Ragi Roti Without Oil,1,290,Ragi-150 gms; Common salt-15 gms; Onion-125 gms
Vegetable Wheat Vermicelli,4,765,Vermicelli-300 gms;Onion-125 gms; Tomato-90 gms; Black pepper-7 gms; Peas-150 gms; Olive oil-15 gms; Cumin seeds-7 gms; Ginger-15 gms; Garlic powder-15 gms; Turmeric powder-4 gms; Garam Masala-15 gms; Common salt-7 gms; Coriander leaves-15 gms
Amarnath Roti(50%Almond Flour+50%Normal Atta),1,166,Amaranth Flour-1 gms; Oats-150 gms; Common salt-15 gms
Veggies Stuffed Jaw Roti,1,770,Barley Flour-250 gms; Common salt-15 gms; Olive oil-15 gms;Onion-125 gms; POTATO-150 gms; carrot-15 gms; Peas-150 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms
Whole Wheat Bread Poha,1,315,Bread-25 gms;Onion-125 gms; Tomato-90 gms; Chillies-15 gms; ; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Oats bran roti(50% Oats bran & 50% wheat atta),1,180,Oats-150 gms; Common salt-15 gms; Maida-15 gms
Garlic and Tomato Salad,1,241,Tomato-120 gms; Lettuce Leaf-100 gms;Garlic-5 gms; Common salt-15 gms; Black pepper-1 gms
FISH CURRY,1,434,Sunflower oil-7 gms; Onion-62 gms; Ginger-4 gms; Garlic-7 gms; Turmeric powder-7 gms; Tomato-125 gms; Common salt-7 gms; Coriander leaves-15 gms; Fish-200 gms
Fish Salad,1,487,Salmon-200 gms; Lemon-15 gms; Common salt-7 gms; Lettuce Leaf-6 0 gms; Cucumber-62 gms; Capsicum-45 gms;Onion-150 gms; Garlic-4 gms;Black Pepper-4 gms
GRILLED FISH,1,120,Lemon-0.5 gms;Salmon-100 gms; Olive oil-15 gms
Masala Fish Fry,3,32,CAT FISH-2 gms; Turmeric powder-15 gms; Common salt-15 gms
Non-veg PLATTER (Fish),3,269,Garlic-4 gms;Lettuce Leaf-20 gms; Spinach-20 gms; CUCUMBER-0.25 gms; Fish-200 gms
Samakiya Rice,1,150,Samakhia Rice-150 gms
Fish Tikka,4,515,Ginger-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Fish-360 gms; Garlic powder-15 gms; Lemon-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Olive oil-30 gms; Cumin Powder-15 gms; Yoghurt-1 gm
Baked Fish,1,170,fish-100 gms;Parsley-0.25 gms; red chilli flakes-4 gms; Kali Mirch Powder-4 gms; Cooking Oil-7 gms; Lemon-15 gms; Common salt-15 gms
Fish Cutlet (Grilled/Roasted),1,264,fish-60 gms; Potato-150 gms; Onion-0.5 gms; Ginger-4 gms;Garlic-4 gms; Turmeric powder-4 gms; Red Chilli Powder-4 gms;Lemon-4 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Cumin seeds-7 gms
Fish Tikka Kebab,1,122,fish-70 gms; Yoghurt-7 gms; Lemon-7 gms; Ginger powder-4 gms; Garlic powder-4 gms; Chilli powder-4 gms; Turmeric powder-4 gms; Cooking oil-7 gms; Cumin seeds-15 gms
Fish Sizzler,1,590,fish-200 gms ; Zucchini-125 gms; carrot-125 gms;Garlic-15 gms; Coriander leaves-125 gms
Lettuce wrapped fish,2,640,Lettuce Leaf-20 gms; TOMATO-150 gms; Onion-150 gms; Coriander leaves-15 gms; Lemon-15 gms; Avocado-150 gms;Garlic-10 gms; Common salt-15 gms; Salmon-100 gms; Olive oil-15 gms
Egg white omelette,1,135,Egg-130 gms ; Sunflower oil-5 gms
Egg white Scrambled,2,60,Egg-30 gms ; Groundnut oil-15 gms; Black pepper-15 gms
Poached Egg white,1,195,Egg-150 gms ; Sunflower oil-15 gms; Lemon-15 gms; Common salt-15 gms
Egg Bhurji,1,201,Egg-130 gms; Cooking oil-7 gms; Onion-20 gms; Capsicum-10 gms; Mushroom-15 gms; Common salt-4 gms; Red chilli Powder-15 gms
EGG WHITE SALAD,1,244,Egg-130 gms; Celery-62 gms; Capsicum-2 gms; Onion-15 gms; Lettuce Leaf-20 gms ;Black pepper-15 gms
EGG SALAD,1,276,Egg-130 gms; Capsicum-62 gms; Common salt-4 gms; Lettuce Leaf-20 gms; Onion-15 gms; Black pepper-15 gms; Mustard oil-15 gms; Lemon-15 gms
Egg white Fritatta,1,292,Egg-180 gms; Milk-15 gms; Common salt-15 gms; Cooking oil-15 gms; TOMATO-15 gms; Capsicum-15 gms; Mushroom-15 gms; Spinach-15 gms; Black pepper-7 gms
"Carrot, Bell Pepper, Broccoli, Cucumber , Beetroot Salad and Egg Salad",1,388,Egg-130 gms; carrot-50 gms; Capsicum-60 gms; CUCUMBER-40 gms; BEETROOT-15 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms;Broccoli-62 gms
Roast Chicken Tomato Salad,1,327,Lettuce Leaf-50 gms; Tomato-50 gms; Onion-30 gms; Common salt-0.5 gms; Black pepper-0.5 gms; Lemon-10 gms;Parsley-10 gms;Garlic-2 gms; Olive oil-15 gms;Chicken-150 gms
Egg Rice,1,265,Egg-2 gms; Onion-30 gms; Capsicum-20 gms; MUSHROOM-10 gms; Peas-10 gms; Garlic-5 gms; Ginger-2 gms; Chillies-2 gms; soya sauce-2 gms; Cooking oil-2 gms; Common salt-15 gms; Black pepper-15 gms; Rice-150 gms
Masala omelette,1,381,Egg-130 gms; Onion-90 gms; Tomato-120 gms; Chillies-15 gms; Common salt-7 gms; Coriander leaves-4 gms; Cooking oil-15 gms
Banana Bread (egg),2,116,Banana-75 gms; BUTTER-7 gms; Egg-65; Wheat-30 gms; Common salt-4 gms
Veggies and Egg soup,1,471,Onion-75 gms;Garlic-7 gms; carrot-75 gms; Zucchini-50 gms; Spinach-50 gms; MUSHROOM-70 gms; Egg-130 gms; Common salt-7 gms; Black pepper-7 gms
Egg Wheat Noodles,2,808,Egg-130 gms; carrot-125 gms; Capsicum-250 gms; Peas-250 gms;Garlic-3 gms; soya sauce-15 gms; VINEGAR-15 gms; Common salt-15 gms; Ginger-0.5 gms
Egg curry,2,88,Egg-30 gms; Onion-10 gms; Tomato-10 gms; Turmeric powder-4 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-4 gms
Egg Sunny Sideup,1,28,Egg-2 gms; Cooking oil-15 gms; Common salt-7 gms;Black Pepper-4 gms
Egg White Sandwich,1,199,Egg-20gms; Bread-30 gms; Olive oil-15 gms; Black Pepper-7 gms; Common salt-7 gms; Cherry Tomato-100 gms; Onion-37.5 gms; Coriander Leaves-15 gms
Egg white Boiled,2,160,Egg-130 gms; VINEGAR-15 gms; Common salt-15 gms
Kale Mushroom Frittata with 2 egg Whites,1,477,Egg-100 gms; Kale-67 gms; MUSHROOM-250 gms; CHEESE-15 gms; Olive oil-15 gms; Common salt-15 gms; Black pepper-15 gms
French Toast with 2 Egg Whites and Whole Wheat Bread,1,110,Bread-30 gms; Eggs-65 gms; Olive oil-15 gms
Egg White Curry,1,460,Eggs-3 g; Onion-125 gms; Tomato-90 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-150 gms
Egg White Omelette with mushroom,1,571,Onion-62.5 gms; Common salt-4 gms; Olive oil-15 gms; Coriander leaves-37.5 gms ; Egg-260 gms; MUSHROOM-75 gms; Capsicum-200 gms; Black Pepper-7 gms
Egg Bhurji with 3 Egg Whites and 1 Yolk,1,590,Eggs-195 gms;Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Common salt-15 gms; Coriander leaves-150 gms
Egg Fritttata with high fiber,1,761,Eggs-3 egg; SPINACH-150 gms; Broccoli-350 gms; Capsicum-201 gms; Olive oil-30 gms; Common salt-15 gms; Black pepper-15 gms
Egg Frittata with high fiber content and low fat,1,1246,Eggs-390 gms; Spinach-150 gms; Broccoli-350 gms; Capsicum-201 gms;Onion-125 gms; Olive oil-15 gms; Black pepper-15 gms
Paneer Tikki,3,241,"Potato-100 gms;Chillies-15 gms; Coriander leaves-15 gms; Sunflower oil-15 gms; Common salt-15 gms; Garam Masala-15 gms; Red chilli Powder-4 gms; Paneer-50 gms; Ginger-2.5 gms ,Cumin powder-7 gms"
Dahi Paneer Kebab,1,174,Paneer-70 gms; Yoghurt-15 gms; Ginger-7 gms;Garlic-7 gms; Lemon-15 gms; Coriander leaves-15 gms; Common salt-15 gms; Olive oil-15 gms; Red chilli Powder-15 gms
French Toast Baked,1,365,Bread-25 gms; Egg-130 gms; Milk-15 gms; Common salt-15 gms; carrot-15 gms; Capsicum-15 gms; Onion-15 gms; Tomato-120 gms; Red chilli Powder-15 gms
Filter Coffee (Skimmed milk),1,257,Milk-250 gms; Coffee-7 gms
Chikoo Shake,1,482,chikoo-350 gms; Milk-125 gms; Cinnamon-7 gms
Paneer satay,2,292,Paneer-60 gms; Lemon-7 gms; Common salt-15 gms; Yoghurt-150 gms; soya sauce-15 gms; Garlic powder-15 gms; Garam Masala-15 gms; Red chilli Powder-15 gms
PANEER CUTLETS,2,876,Paneer-200 gms; Potato-150 gms; Ginger-15 gms; Turmeric powder-4 gms; Sunflower oil-15 gms; Garlic powder-15 gms; Chillies-2 gms; Coriander Powder-5 gms;Onion-125 gms; carrot-50 gms; Peas-250 gms; Cumin seeds-15 gms; Garam Masala-15 gms; Common salt-15 gms
Chicken Tikka,4,1127,Ginger-7 gms; Turmeric powder-15 gms; Common salt-15 gms; Chicken-750 gms; Garlic powder-7 gms; Coriander Powder-24 gms; Yogurt-225 gms; Paprika powder-30 gms; Cumin Powder-24 gms; Lemon-30 gms
Quinoa Tikki,2,541,Common salt-7 gms; Coriander leaves-7 gms; POTATO-150 gms;Onion-125 gms;Mint leaves-7 gms; Chillies-15 gms; Cumin seeds-15 gms; Olive oil-15 gms; Quinoa-200 gms
Paneer Bhurji,1,229,Paneer-50 gms; Onion-60 gms;Tomato-70 gms; Turmeric powder-4 gms; Cumin seeds-4 gms; Chillies-4 gms; Mustard oil-15 gms; CORIANDER LEAVES-15 gms; Common salt-7 gms
MURGH PALAK KORMA KEBAB,4,695,Chicken-60 gms; Spinach-500 gms; Ginger-30 gms; Chillies-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Curd-15 gms; Garam Masala-15 gms; Cooking oil-15 gms
Paneer Masala,1,564,Paneer-100 gms; Turmeric powder-7 gms; Common salt-7 gms; Cooking oil-15 gms; Onion-90 gms; Garlic-20 gms; TOMATO-90 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms;Yoghurt-200 gms
Papaya shake,2,557,Papaya-300 gms; MILK-250 gms; Black Pepper-7 gms
Peas raita,1,445,Peas -150 gms; Yoghurt-250 gms; Common salt-15 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms
Garlic Cheese Toast,1,195,Bread-25 gms;Garlic-5 gms; BUTTER-15 gms; CHEESE-15 gms; Tomato-120 gms; Common salt-15 gms;
Banana Shake,2,518,Banana-118 gms;Milk-400 gms
Lauki Raita,4,525,Bottle gourd-250 gms; Common salt-15 gms;Yoghurt-200 gms; Cumin seeds-15 gms; Chat Masala-15 gms; Black pepper-15 gms; Coriander leaves-15 gms
Egg Sandwich,1,212,Egg-2 ; bread-50 gms; Common salt-7 gms; Tomato-120 gms; CUCUMBER-5 gms; Black pepper-15 gms; Olive oil-15 gms
Beetroot Raita,1,350,Yoghurt-250 gms; Beet root-70 gms;Mint leaves-15 gms; Common salt-15 gms
Cucumber Raita,1,489,Yoghurt-250 gms; Cucumber-200 gms; Cumin seeds-15 gms;Common salt -24 gms
Almond and Raisins Raita,1,295,Yoghurt-250 gms; Almond-5 ; RAISINS-7 ; Coriander leaves-15 gms; Common salt-15 gms; Cumin seeds-15 gms
French Toast,1,107,Bread-25 gms; Egg-60 gms; milk-15 gms; BUTTER-7 gms
Mango Shake,2,1200,MANGO-700 gms; Milk-500 gms
Strawberry Shake,1,350,strawberry-100 gms; Milk-250 gms
Aloo Raita,1,270,POTATO-150 gms; Yoghurt-30 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms; Black pepper-15 gms; Coriander Powder-15 gms; Ginger powder-15 gms; Chillies-15 gms
Lettuce Wrap (paneer),1,341,Paneer-150 gms; Onion-15 gms; Tomato-15 gms; Cucumber-15 gms; Carrot-15 gms; Capsicum-15 gms; Chillies-10 gms; Coriander leaves-15 gms; Lemon-15 gms; Black pepper-4 gms; Cooking Oil-15 gms; Common salt-15 gms; Cumin seeds-15 gms; Turmeric powder-7 gms; Lettuce Leaf-20 gms
Paneer Pakora,3,640,Turmeric powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Paneer-50 gms; Besan-250 gms; Red chilli Powder-250 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms
Paneer & Salsa Tortilla Wrap,1,289,Paneer-50 gms; Tomato-62 gms; Capsicum-62 gms; Onion-62 gms; Coriander leaves-15 gms;Black Pepper-4 gms; Common salt-4 gms; Soyabean oil-15 gms; Chat Masala-15 gms
Rawa Dosa,1,287,Semolina-125 gms; Yoghurt-15 gms; Black pepper-7 gms; Curry leaves-5 gms; Coriander leaves-30 gms; Onion-60 gms; Sunflower oil-15 gms; ; Cumin seeds-15 gms; Rice Flour-15 gms
Malai Tikka,1,635,Cauliflower-125 gms; Mushroom-125 gms; Paneer-125 gms; Yoghurt-30 gms; Cashew-5 gms; Ginger-20 gms;Garlic-5 gms; Lemon-15 gms; Cumin seeds-15 gms; Coriander seeds-15 gms; Turmeric powder-15 gms; Coriander leaves-125 gms; Sunflower oil-15 gms
Hung Curd Salad,1,955,Yoghurt-125 gms; Cucumber-200 gms; Tomato-120 gms; Onion-125 gms; Capsicum-125 gms; Lettuce Leaf-10 gms; carrot-125 gms; Parsley-125 gms
Mint raita,4,275,Mint leaves-15 gms; Yoghurt-15 gms;Onion-125 gms; Tomato-90 gms; Cumin seeds-15 gms; Common salt-15 gms
Lauki raita (lactose free),4,484,Bottle gourd-250 gms; Common salt-15 gms;Yoghurt-200 gms; Cumin seeds-15 gms; Chaat Masala-4 gms
Rice Paneer Sizzler,4,444,Paneer-150 gms; Ginger-7 gms; Garlic-7 gms; Cooking oil-15 gms; Capsicum-30 gms; Onion-150 gms;Mint leaves-15 gms; Lettuce Leaf-20 gms; Rice-50 gms
PANEER SALAD,1,284,Paneer-100 gms; Cucumber-62 gms; Onion-62 gms; Coriander leaves-15 gms; Lemon-15 gms; Black pepper-15 gms; Chat Masala-15 gms
Suji Cheela,1,310,Semolina-62 gms; Yoghurt-30 gms; Onion-30 gms; Tomato-120 gms; Capsicum-15 gms; Chillies-4 gms; MUSTARD SEEDS-4 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Common salt-4 gms; Cumin seeds-4 gms; Red chilli Powder-15 gms
KADHI (NO PAKORA),1,958,Yoghurt-500 gms; Turmeric powder-4 gms; Common salt-7 gms; Cumin seeds-7 gms; MUSTARD SEEDS-7 gms; Chillies-40 gms; Ginger-7 gms; Garlic-7 gms; Sunflower oil-7 gms; Cumin seeds-7 gms; Curry leaves-4 ; Besan-350 gms; Red chilli Powder-15 gms
PANEER ROTI,1,142,Atta-45 gms; Paneer-30 gms; Onion-15 gms; Ginger-7 gms; Coriander leaves-15 gms; Cumin seeds-15 gms; Garam Masala-15 gms;
Paneer Sandwich,2,626,Cucumber-75 gms; Tomato-75 gms; Onion-75 gms; Black pepper-7 gms; Red chilli Powder-7 gms; Common salt-15 gms; Bread-100 gms; Paneer-250 gms; Chat Masala-7 gms; BUTTER-15 gms
Paneer Tikka,3,471,Paneer-100 gms; Yoghurt-15 gms; Ginger-15 gms;Garlic-15 gms; Turmeric powder-4 gms; Lemon-7 gms; Common salt-15 gms; Mustard oil-15 gms; Capsicum-225 gms; Tomato-1 ; Onion-60 gms
Yogurt Kebab,3,1190,Common salt-15 gms; Curd-350 gms;Paneer-250 gms; POTATO-250 gms; Coriander leaves-250 gms;Mint leaves-15 gms; Ginger-15 gms; Chat Masala-15 gms; Cumin seeds-15 gms; Olive oil-15 gms
Saute Paneer,1,236,"Paneer -150 gms; Cooking oil-7 gms; Onion-15 gms; Capsicum-15 gms; Capsicum, red-15 gms; Zucchini-15 gms; Common salt-4 gms; Coriander leaves-15 gms"
Makhana Milk,1,530,Makhana-250 gms; Milk-250 gms; Brown sugar-15 gms; cardamom-15 gms
Milk Tea,2,280,Tea-15 gms; Ginger-15 gms; MILK-250 gms
Chicken Biryani,1,441,Chicken-100 gms; Yoghurt-30 gms; Common salt-15 gms; Cardamom-2 gms; Cooking oil-15 gms; Onion-30 gms; Cumin seeds-7 gms; Cinnamon-5 gms; Cloves-10 gms; Nutmeg-15 gms;Mint leaves-2 gms; Milk-15 gms; Rice-150 gms; Red chilli Powder-15 gms; Ginger powder-15 gms; Garlic powder-15 gms
CHEESY CHICKEN PATTIES (Tikki),1,226,Chicken-60 gms; CHEESE-62 gms; Egg-60 gms; Onion-15 gms; Common salt-7 gms; Black pepper-7 gms; Olive oil-15 gms
ACHARI TIKKA (PANEER),1,401,Paneer-250 gms; Common salt-15 gms ; Fenugreek seeds-15 gms; Yoghurt-1 gms; Ginger powder-15 gms; Garlic powder-15 gms; Red chilli Powder-15 gms; Turmeric powder-15 gms; Coriander Powder-15 gms; Cumin seeds-15 gms; Garam Masala-15 gms; Olive oil-15 gms
Paneer Wrap In Soya Palak Roti,1,180,Spinach-30 gms; Atta-30 gms; Cumin seeds-4 gms; Paneer-30 gms; Onion-15 gms; Ginger-4 gms; Common salt-7 gms; Capsicum-15 gms; carrot-15 gms; CUCUMBER-15 gms; Coriander leaves-15 gms
Dahi Vada,2,251,Gram dal-60 gms; Cumin seeds-4 gms; Common salt-7 gms; Cooking oil-15 gms; Yoghurt-150 gms; Coriander leaves-15 gms
Curd Rice,1,286,Rice-100 gms; Yoghurt-100 gms; Milk-30 gms; carrot-10 gms; CUCUMBER-10 gms; Coriander leaves-5 gms; Chillies-5 gms; Ginger-2 gms; Curry leaves-2 gms; Mustard seeds-2 gms; Gram dal-2 gms; Asafoetida-1 gms; Cooking oil-2 gms; Common salt-15 gms
Matar Paneer,1,595,Paneer-125 gms; Peas-150 gms; Tomato-120 gms; Onion-75 gms; Garlic-2 gms; Ginger-4 gms; Chillies-3 gms; Yoghurt-75 gms; Cumin seeds-1.5 gms; Turmeric powder-2 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves-4 gms
Palak Paneer,1,990,Paneer-200 gms; Spinach-400 gms; Onion-150 gms; Tomato-200 gms; Garlic-1 gms; Chillies-2 gms; Cumin seeds-1.5 gms; Turmeric powder-2 gms; Cooking oil-15 gms; Common salt-15 gms
Palak Mushroom,1,562,Paneer-200 gms; MUSHROOM-200 gms; Onion-10 gms; Tomato-120 gms)-2 gms;Garlic-1 ; Chillies 2 gms; Cumin seeds-1.5 gms; Turmeric powder-2 gms; Cooking oil-15 gms; Common salt-15 gms
Pineapple Raita,10,2065,Yoghurt-250 gms; Coriander leaves-10 gms; Mint leaves-5 gms; Pineapple-1800 gms
Strawberry Yogurt,1,375,Yoghurt-250 gms; strawberry-125 gms
Vegetable Raita,1,510,Yoghurt-250 gms; CUCUMBER-80 gms; carrot-80 gms; Onion-50 gms; Coriander leaves-30 gms;Mint leaves-5 gms; Common salt-15 gms
CHICKEN SALAD,1,555,Common salt-15 gms; Chicken-250 gms; Celery-150 gms; Onion-125 gms; Black pepper-15 gms
BROCCOLI SOUP,1,310,Garlic-15 gms; Onion-30 gms; Milk-250 gms; Common salt-15 gms; Broccoli-50 g
Smoothie (In Curd),1,439,Papaya-150 gms; Apple-62 gms; ORANGE-80 gms; Sunflower seeds-15 gms; Yoghurt-125 gms; Chia Seeds-7 gms; Almond-5 pieces
Masala Tea,2,270,Milk-250 gms; Ginger-5 gms; Tea-15 gms
Tea,1,165,Tea-15 gms; Milk-150 gms
Haldi Milk,1,132,Turmeric powder-7 gms; Milk-125 gms
Coffee Double Expresso (Skimmed milk),1,132,Milk-125 gms; coffee-7 gms
Chilli Paneer,1,256,Black pepper-15 gms; Common salt-15 gms; Cooking oil-15 gms;Garlic-15 gms; Ginger-15 gms; Onion-0.25  ; Capsicum-0.25  -150 gms;; soya sauce-15 gms; VINEGAR-15 gms; Onion-1 gms; Paneer-2  cube
Corn Cutlet,2,493,POTATO-175 gms; Chillies-15 gms; Coriander leaves-15 gms; Common salt-15 gms; Cooking oil-15 gms; Cumin seeds-4 gms; Chillies-4 gms; Besan-250 gms
Chilli Paneer & Baby corn,2,365,Babycorn-75 gms; Black pepper-7 gms; Common salt-7 gms; Cooking oil-30 gms;Garlic-15 gms; Ginger-15 gms; Chillies-15 gms; soya sauce-15 gms; Onion-1 gms; Paneer-125 gmans;Onion-90 gms; Green Bell pepper-95 gms
"Chilli Paneer with Salad (Bell peppers, Broccoli & Cherry tomatoes)",1,392,Paneer-75 gms; Black pepper-15 gms; Common salt-15 gms; Cooking oil-30 gms;Garlic-15 gms; Ginger-15 gms; Capsicum-75 gms; Lemon-15 gms; Onion-75 gms; Broccoli-62 gms
Dal Kebab,3,206,POTATO-125 gm; Chillies-15 gms; Coriander leaves-4 gms; Common salt-7 gms; Cooking oil-15 gms; Cumin seeds-4 gms; Ginger-7 gms; Garlic-4 gms; Besan-150 gms
Dahi Channa Kebab,1,347,Yoghurt-15 gms; Tomato-120 gms;Coriander leaves-15 gms; Common salt-15 gms; Cooking oil-15 gms; Cumin seeds-4 gms; Coriander seeds-4 gms; Ginger-4 gms; Garlic-1.5 gms; Channa Dal-150 gms
Grilled Paneer,4,153,Paneer-50 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Chillies-7 gms; Yoghurt-70 gms
Pav Bhaji,1,1533,POTATO-200 gms; Capsicum-250 gms; carrot-250 gms; Peas-250 gms; Cauliflower-250 gms; Onion-150 gms; Tomato-120 gms; Turmeric powder-7 gms; Common salt-7 gms; BUTTER-15 gms; Cooking oil-15 gms; Coriander leaves-4 gms; Lemon-15 gms
Paneer Tikka Kathi Roll,1,565,Lemon-4 gms; Common salt-7 gms; Onion-120 gms; Capsicum-125 gms; Lettuce Leaf-125 gms; Cooking oil-15 gms; Yoghurt-15 gms; Chillies-4 gms; Paneer-150 gms
Noodles Paneer Sizzler,1,382,Paneer-125 gms; Lettuce Leaf-20 gms; Common salt-15 gms; Capsicum-70 gms; Onion-70 gms;Mint leaves-15 gms; Ginger-7 gms;Garlic-15 gms; Cumin seeds-7 gms; Coriander seeds-4 gms; Garlic-4 gms; Chillies-15 gms; Cooking oil-15 gms
