Food,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg/CO2),Ingredients
Garlic Cheese Toast,Continental,Snacks,Veg,dairy allergy,1 medium,195,230,6,14,16,1,0.707,"WHEAT, bread, (brown) - 1 slice; Garlic, small clove - 1 number; BUTTER - 1 tbsp; CHEESE - 1 tbsp; Tomato, ripe, local - 2 slice; Common salt - 1 tbsp; Pepper, black - 1 pinch; Fresh basil leaves - 1 leaf"
Banana Shake,Continental,"Breakfast,Drinks",Veg,dairy allergy,2 glass,518,184,8,37,1,1,1.12,BANANA RIPE - 2 medium; Skimmed Milk - 2 small glass
Lemon Rice,South,"Lunch,Dinner",Vegan,no-allergies,1 medium katori,304,927,22,184,9,12,1.0851,"Rice, raw, brown - 1 cup; Mustard oil - 1 tbsp; Mustard seeds - 0.25 tbsp; Cumin seeds - 0.25 tbsp; Turmeric powder - 0.25 tbsp; Chillies, green-1 - 1 number; Lemon, juice - 1 tbsp; Asafoetida - 1 pinch; Common salt - 0.5 tbsp; Curry leaves - 5 number"
Almonds and Walnut Raita,Continental,Snacks,Veg,nuts allergy,1 medium katori,310,351,13,11,29,4,0.8335,"Almond - 1 tbsp; WALNUT - 1 tbsp; CURDS (cow milk) - 1 cup; Coriander leaves - 1 tbsp; Common salt - 1 pinch; Pepper, black - 1 tbsp"
Lauki Raita,North,Snacks,Veg,dairy allergy,4 medium katori,525,37,4,4,1,3,0.695,"Bottle gourd, round, pale green - 1 cup; Common salt - 1 tbsp; Lactose-Free Yogurt - 1 Small Cup; CUMIN SEEDS - 1 tbsp; Chat Masala - 1 tbsp; Pepper, black - 1 tbsp; Coriander leaves - 1 tbsp"
Chicken Korma,North,"Lunch,Dinner",Non-veg,no-allergies,4 medium katori,549,171,11,9,11,3,1.2514,"Chicken, poultry, breast, skinless - 100 gms; Ginger, fresh - 0.5 tbsp; Garlic, small clove - 0.5 tbsp; CUMIN SEEDS - 1 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 2 tbsp; Plain Yogurt - 1 tbsp; Onion Finely Chopped - 1 medium onion; chopped tomato - 2 medium tomato; Cinnamon Clove Water - 1 tbsp; Turmeric powder - 1 tbsp; Garam Masala - 1 tbsp"
Chicken with Staraniseed,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium katori,479,529,41,63,10,19,1.174,"Chicken, poultry, breast, skinless - 100 gms; Common salt - 3 pinch; Garlic, small clove - 1 cup; Ginger, fresh - 0.5 cup; CINNAMOM - 0.25 tbsp; Pepper, black - 1 pinch"
Quinoa,Continental,"Lunch,Dinner",Veg,no-allergies,4 medium katori,995,239,8,34,7,10,1.271,"Quinoa - 1 cup; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 1 tbsp; Onion Finely Chopped - 1 small onion; saute bell pepper - 1 cup; CARROT - 1 cup; Ginger, fresh - 1 tbsp; Garlic paste - 1 tbsp; Coriander Powder - 1 tbsp; Turmeric powder - 1 tbsp; Red chilli Power - 1 tbsp; Coriander leaves - 1 tbsp"
Nutri Rice (Soyabean),West,"Lunch,Dinner",Veg,no-allergies,1 medium katori,1066,1264,64,202,18,38,1.2576,"SOYABEAN - 0.25 cup; Rice, parboiled, milled - 0.5 cup; Carrot, orange - 0.5 cup; Peas, fresh - 0.5 cup; Garlic, small clove - 1 cup; Sunflower oil - 0.25 tbsp; Common salt - 3 pinch; Pepper, black - 1 pinch; ONION STALKS - 1 cup; Plain Water - 1 large cup; Capsicum, green - 0.5 cup"
Coffee (Skimmed milk),South,"Breakfast,Drinks",Veg,dairy allergies,1 cup,45,19,1,1,0,0,0.3315,"SKIMMED MILK, liquid - 2 tbsp; coffee powder - 1 tbsp"
Dhaniya Ajwain Water,"North,South,East,West",Drinks,Vegan,no-allergies,4 glass,31,12,1,1,1,1,0.0461,Coriander seeds - 0.5 tbsp; Plain Water - 5 large cup; Carom(Ajwain) Seeds - 1.5 tbsp
Dhaniya Water,"North,South,East,West",Drinks,Vegan,no-allergies,1 glass,15,13,1,1,1,2,0.0525,Coriander seeds - 1 tbsp; Plain Water - 1 large glass
Detox Water ,"North,South,East,West",Drinks,Vegan,no-allergies,1 glass,107,18,0,2,0,2,0.0397,"Bottle gourd, elongate, pale green - 50 gms; Cucumber, green, elongate - 40 gms; Ginger, fresh - 1 slice; Mint leaves - 5 number; Plain Water - 1 small glass; Common salt - 0.5 tbsp"
Baked Chicken,Continental,Dinner,Non-veg,no-allergies,3 number,129,81,7,0,6,0,0.6744,"Chicken, poultry, breast, skinless - 100 gms; Parsley (Dried) - 0.5 tbsp; Kali Mirch Powder - 0.25 tbsp; Cooking Oil - 0.5 tbsp; Red Chilli Flakes - 0.25 tbsp; Common salt - 0.5 tbsp"
Baked Fish,Continental,Dinner,Non-veg,fish allergies,1 number,170,168,19,0,9,0,0.5735,"Sole fish - 100 gms; Parsley(Dried) - 0.25 gms; Red Chilli Flakes - 0.25 tbsp; Kali Mirch Powder - 0.25 tbsp; Cooking Oil - 0.5 tbsp; Lemon, juice - 1 tbsp; Common salt - 1 tbsp"
BBQ Chicken,Continental,Dinner,Non-veg,no-allergies,1 number,136,248,22,1,17,0,0.6828,"Chicken, poultry, breast, skinless - 100 gms; Parsley (Dried) - 0.5 tbsp; Red Chilli Flakes - 0.25 tbsp; Kali Mirch Powder - 0.25 tbsp; GARLIC, dry (Powder) - 0.5 tbsp; Common salt - 0.5 tbsp; Cooking Oil - 0.5 tbsp"
Carrot Beetroot Pudina Amla Juice,Continental,Drinks,Veg,no-allergies,1 glass,246,92,3,16,1,11,0.0784,"Carrot, red (Diced) - 3 small; Beet root(Diced) - 0.5 small; Amla (De-seeded) - 2 small; Pudina (Fresh) - 6 number"
Suji Veggie Pocket,Continental,Drinks,Veg,gluten allergy,1 medium,190,221,7,33,5,6,0.161,"Wheat, semoilna - 30 gms; CURDS (cow milk) - 60 ml; Asafoetida - 1 pinch; Cumin seeds - 0.25 tbsp; Sunflower oil - 0.5 tbsp; Carrot, orange - 20 gms; FRENCH BEANS - 20 gms; Peas, fresh - 20 gms; Onion, small - 50 gms; Ginger, fresh - 0.5 tbsp; Chillies, green - all varieties - 0.5 tbsp; Turmeric powder - 1 pinch; Common salt - 0.25 gms"
TABBOULEH,Continental,"Lunch,Dinner,Snacks",Veg,no-allergies,1 small bowl,304,350,7,39,16,10,0.3609,"Wheat, bulgur - 45 gms; Parsley - 20 gms; Mint leaves - 10 gms; Cucumber, green, elongate - 40 gms; Tomato, ripe, local - 40 gms; Onion, small - 20 gms; Lemon, juice - 1 tbsp; Common salt - 0.25 tbsp; oilve Oil - 1 tbsp; Pepper, black - 1 tbsp"
Lauki Cucumber Amla Lemon Juice,Continental,Drinks,Veg,no-allergies,1 glass,258,55,2,8,0,8,0.0762,"Lauki (Peeled &amp; Diced) - 0.5 small; Cucumber, green, short - 1 small; Amla (De-seeded) - 0.5 small; Mint leaves - 3 number; Ginger, fresh - 0.25 small"
Jowar Roti (100%),South,"Lunch,Dinner",Veg,no-allergies,1 medium,350,334,10,68,2,10,0.2625,Jowar Atta - 1 medium bowl; Plain Water - 1 small glass
Jowar Roti (50% Jawar 50% Wheat atta),South,"Lunch,Dinner",Veg,no-allergies,6 medium,315,65,2,13,0,2,0.264,"Jowar - 1 small katori; Wheat flour, atta - 1 small katori; Common salt - 1 tbsp; Plain Water - 1 small glass"
Soya Sizzler,Continental,"Lunch,Dinner",Veg,soy allergy,1 medium,567,305,28,21,10,9,0.658,"SOYABEAN - 30 gms; Ginger, fresh - 1 tbsp; Garlic, small clove - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Capsicum, green - 20 gms; Capsicum, red - 20 gms; Capsicum, yellow - 20 gms; Button mushroom, fresh - 20 gms; Onion, big - 20 gms; Zucchini, green - 20 gms; Tomato, ripe, local - 20 gms; Cabbage, green - 2 number; Common salt - 1 tbsp; Red chilli Power - 1 tbsp; Ginger Paste - 1 tbsp; Pepper, black - 1 tbsp; Soya Chunks Tacos - 0.5 small taco"
VegKebab,Continental,Snacks,Veg,no-allergies,4 number,1010,440,19,74,7,7,0.8625,"Common salt - 1 tbsp; CARROT - 1 small bowl; FRENCH BEANS - 1 small katori; POTATO - 1 small katori; Peas, fresh - 1 small katori; BENGAL GRAM, dhal - 1 small katori; Onion Finely Chopped - 1 small onion; Garlic paste - 1 tbsp; Ginger Paste - 1 tbsp; Cumin seeds - 1 tbsp; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; Bread Crumbs - 1 tbsp; Corn Flour - 1 tbsp; oilve Oil - 1 tbsp"
Egg Bhurji,Continental,Continental,Eggetarian,egg allergy,1 medium katori,201,117,8,3,8,1,0.7329,"Egg, poultry, white, raw - 2 medium; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Onion, big - 20 gms; Capsicum, green - 10 gms; Button mushroom, fresh - 1 tbsp; Chillies, green-1 - 1 number; Common salt - 0.25 tbsp; Red chilli Power - 1 tbsp"
Egg Sandwich,Continental,Breakfast,Eggetarian,dairy allergy,1 medium,212,313,16,27,16,3,0.3827,"Egg, poultry, white, raw - 2 number; WHEAT, bread, (brown) - 2 number; Common salt - 0.5 tbsp; Tomato, ripe, local - 5 gms; CUCUMBER - 5 gms; Pepper, black - 1 tbsp; oilve Oil - 1 tbsp"
Egg Wrap,Continental,Breakfast,Eggetarian,no-allergies,1 number,386,389,15,14,30,1,1.1329,"Onion Finely Chopped - 0.25 small onion; Common salt - 0.5 tbsp; EGG, hen - 2 small; Milk - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Black Pepper - 0.5 tbsp; MUSHROOM - 0.5 small katori; Green Bell pepper - 0.5 tbsp; Whole Wheat Tortilla - 0.5 small"
Falafel,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium,113,185,2,7,16,3,0.217,"Onion, big - 1 tbsp; Garlic, big clove - 2 medium; Chillies, green-1 - 4 gms; CORIANDER LEAVES - 1 tbsp; Mint leaves - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 0.5 tbsp; Cumin seeds - 1 tbsp; Garam Masala - 1 tbsp"
Fish Fingers (Grilled / Roasted ),Continental,Snacks,Non-veg,seafood allergy,1 medium,453,512,27,51,19,8,1.18375,"Cat fish - 70 gms; Turmeric powder - 0.25 tbsp; Lemon, juice - 0.5 tbsp; Ginger, fresh - 1 tbsp; Garlic, big clove - 1 tbsp; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 1 tbsp; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; Rice Flour - 1 small bowl; Besan - 0.5 Cup"
Beetroot Raita,"North,South",Snacks,Veg,dairy allergy,1 medium bowl,350,160,8,9,10,1,0.6325,CURDS (cow milk) - 1 cup; Beet root - 0.5 medium; Mint leaves (Fresh) - 1 tbsp; Common salt - 1 tbsp
Cucumber Raita,"North,South",Snacks,Veg,dairy allergy,1 medium katori,489,173,8,10,11,4,0.7399,"CURDS (cow milk) - 1 cup; Cucumber, green, short - 0.5 medium; Cumin seeds (Powder) - 1 tbsp; Pepper, black (Powder)- OPTIONAL - 0.5 tbsp; Common salt - 1.5 tbsp"
Fried Rice,Continental,"Lunch,Dinner",Veg,soy allergy,1 small bowl,585,1123,31,203,18,22,1.33045,"Rice, raw, brown - 1 cup; Mustard oil - 1 tbsp; Onion, big - 0.25 cup; Capsicum, green - 0.25 cup; Carrot, orange - 0.25 cup; Peas, fresh - 0.25 cup; Garlic, big clove - 2 number; SOYA SAUCE - 0.5 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; ONION STALKS - 1 tbsp"
Almond and Raisins Raita,Continental,Snacks,Veg,dairy allergy,1 medium katori,295,168,8,9,11,3,0.685,"CURDS (cow milk) - 1 cup; Almond - 5 number; RAISINS - 7 number; Pepper, black - 1 pinch; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; Cumin seeds - 1 tbsp"
Wheat Roti,"North,South","Lunch,Dinner",Veg,gluten allergy,1 medium,45,96,3,19,0,3,0.0315,"Wheat flour, atta - 2 tbsp; Common salt - 1 tbsp; Plain Water - 1 small glass"
Brown Rice,"North,South","Lunch,Dinner",Veg,no-allergies,4 small bowl,132,89,2,19,0,1,0.5007,"Rice, raw, brown - 0.5 cup; Common salt - 0.5 tbsp; Plain Water - 1 medium glass"
Boiled rice,South,"Lunch,Dinner",Veg,no-allergies,3 medium katori,132,138,3,32,0,0,0.5007,"RICE, parboiled,milled - 0.5 cup; Common salt - 0.5 tbsp"
Fish Cutlet (Grilled/Roasted),Continental,Snacks,Non-veg,fish allergies,1 number,264,216,16,13,10,4,0.4519,"Ari fish - 60 gms; Potato, brown skin, small - 1 number; Onion Barista - 0.5 gms; Chillies, green-1 - 1 number; Ginger, fresh - 0.25 tbsp; Garlic, small clove - 0.25 tbsp; Turmeric powder - 0.25 tbsp; Red Chilli Powder - 0.25 tbsp; Lemon, juice - 0.25 tbsp; Coriander leaves - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Cumin seeds - 0.5 tbsp"
Fish Tikka Kebab,Continental,Snacks,Non-veg,fish allergies,1 number,122,177,17,2,10,2,0.4998,"Cat fish - 70 gms; CURDS (cow milk) - 0.5 tbsp; Lemon, juice - 0.5 tbsp; Ginger paste - 0.25 tbsp; Garlic paste - 0.25 tbsp; Chilli powder - 0.25 tbsp; Turmeric powder - 0.25 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Cumin seeds - 1 tbsp"
French Toast,Continental,Breakfast,Veg,dairy allergy,1 slice,107,180,7,20,8,0,0.4303,"WHEAT, bread, (brown) - 1 slice; Egg, poultry, white, raw - 1 number; MILK (buffalo) - 1 tbsp; CINNAMOM - 0.25 pinch; Common salt - 0.25 pinch; BUTTER - 0.5 tbsp"
Pyaazi Kebab,North,Snacks,Non-veg,no-allergies,1 number,945,1455,109,57,87,15,4.458,"Common salt - 1 tbsp; MUTTON, muscle - 1 small katori; Onion Finely Chopped - 2 medium onion; Besan - 1 Bowl; Coriander leaves - 1 small katori; Mint leaves - 1 tbsp; Ginger Paste - 1 tbsp; Garlic paste - 1 tbsp; Red chilli Power - 1 tbsp; Coriander Powder - 1 tbsp; Cumin seeds - 1 tbsp; Garam Masala - 1 tbsp; oilve Oil - 1 tbsp"
Ragi Roti (100%),"North,South","Lunch,Dinner",Veg,no-allergies,4 medium,395,101,2,21,1,2,0.355,"Ragi flour - 1 small cup; Onion, big - 1 small katori; CARROT - 1 medium; Coriander leaves - 1 tbsp; Cumin seeds - 1 tbsp; Common salt - 1 tbsp; Plain Water - 1 small glass"
Soy Milk,Continental,"Breakfast,Drinks",Vegan,soy allergy,1 cup,125,324,33,9,17,19,0,"Soya bean, white - 0.5 cup; Plain Water - 0.5 small glass"
Mango Shake,Continental,Drinks,Veg,dairy allergy,2 glass,1200,233,10,46,2,2,1.995,MANGO RIPE - 2 large bowl; Skimmed Milk - 2 medium glass
Strawberry Shake,Continental,Drinks,Veg,dairy allergy,1 glass,350,79,7,13,0,1,0.785,Strawberry - 7 small berry; Skimmed Milk - 1 small glass
Makki Methi Roti,North,"Lunch,Dinner",Veg,no-allergies,1 medium,75,34,3,5,1,3,0.045,Makai Atta - 2 tbsp; Methi (Chopped) - 1 tbsp; Common salt - 1 tbsp; Carom seeds - 1 tbsp; Plain Water - 1 small glass
Makki Mooli Roti,North,"Lunch,Dinner",Veg,no-allergies,1 medium,75,34,2,6,1,2,0.0495,Makai Atta - 2 tbsp; Radish(Grated) - 1 tbsp; Common salt - 1 tbsp; Carom seeds - 1 tbsp; Plain Water - 1 small glass
Makki Roti,North,"Lunch,Dinner",Veg,no-allergies,1 medium,60,29,2,5,1,2,0.045,Makai Atta - 2 tbsp; Common salt - 1 tbsp; Carom seeds - 1 tbsp; Plain Water - 1 small cup
Aloo Raita,North,"Lunch,Snacks",Veg,dairy allergy,1 medium katori,270,534,55,73,6,5,0.435,"POTATO - 1 small katori; Plain Yogurt - 2 tbsp; CUMIN SEEDS - 1 tbsp; Red chilli Power - 1 tbsp; Pepper, black - 1 tbsp; Coriander Powder - 1 tbsp; Ginger Paste - 1 tbsp; Chillies, green-1 - 1 tbsp"
Lettuce Wrap (paneer),Continental,"Lunch,Dinner,Snacks",Veg,dairy allergy,1 number,341,165,7,8,10,6,1.5845,"Paneer (Homemade) - 1 small katori; Onion(Chopped) - 1 tbsp; Tomato(Chopped) - 1 tbsp; Cucumber(Chopped) - 1 tbsp; Carrot, orange(Chopped) - 1 tbsp; Capsicum, green - 1 tbsp; Chillies, green-1 (Chopped) - 1 number; Coriander leaves(Chopped) - 1 tbsp; Lemon, juice - 1 tbsp; Pepper, black (Powder) - 0.25 tbsp; Cooking Oil - 1 tbsp; Common salt - 1 tbsp; Cumin seeds - 1 tbsp; Turmeric powder - 0.5 tbsp; Lettuce - 2 medium leaf"
Chicken Wheat Wrap,Continental,"Lunch,Dinner,Snacks",Non-veg,gluten allergy,1 medium,317,239,17,14,11,8,0.6686,"Chicken, poultry, breast, skinless - 60 gms; Sunflower oil - 1 tbsp; Turmeric powder - 0.5 tbsp; Chillies, red - 0.25 tbsp; Common salt - 2 pinch; Onion, small - 0.25 cup; Cabbage, green - 0.25 cup; Capsicum, yellow - 0.25 cup; CORIANDER LEAVES - 1 tbsp; Cumin seeds - 1 tbsp; Green Chutney - 1 tbsp"
Jeera-Kari-Patta Water,"North,South,East,West",Drinks,Vegan,no-allergies,1 glass,22,15,1,1,1,2,0.056,Curry leaves - 7 number; Cumin seeds - 1 tbsp; Plain Water - 1 small cup
Jeera Water,"North,South,East,West",Drinks,Veg,no-allergies,1 glass,15,18,1,2,1,1,0.0525,Plain Water - 1 small glass; CUMIN SEEDS - 1 tbsp
Vegetable Cutlet,North,Snacks,Vegan,no-allergies,3 number,475,92,3,11,3,4,0.2878,"POTATO - 1 medium; Cabbage, green - 0.25 cup; Peas, fresh - 0.25 cup; Carrot, orange - 0.25 cup; Onion, small - 0.25 cup; Chillies, green-1 - 0.5 tbsp; CORIANDER - 0.5 tbsp; Coriander leaves - 1 tbsp; Common salt - 2 pinch; Mustard oil - 2 tbsp"
VegGrilled Salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,873,69,5,7,0,4,0.66635,"Zucchini, green - 1 small; BRINJAL - 1 small; Capsicum, green - 1 small; Onion, small - 1 small; Tomato, ripe, hybrid - 1 small; Button mushroom, fresh - 3 number; Common salt - 0.25 tbsp; Pepper, black - 0.25 tbsp; LETTUCE - 0.5 cup; Cucumber, green, elongate - 0.25 cup; Capsicum, red - 0.25 cup; Lemon, juice - 1 tbsp; Parsley - 1 tbsp"
Oats Wrap,Continental,"Lunch,Dinner",Veg,gluten allergy,2 small,435,202,9,34,4,6,0.2495,"Common salt - 1 tbsp; Oats - 1 small bowl; Plain Water - 1 small glass; Pepper, black - 1 tbsp; Baking Soda - 1 Tsp; Spinach - 1 cup"
Gluten Free Wrap (Rice flour),Continental,"Lunch,Dinner",Veg,no-allergies,1 medium,210,582,8,97,16,1,0.6465,Common salt - 1 tbsp; Rice Flour - 1 small bowl; Plain Water - 1 small glass; Cumin seeds - 1 tbsp; Garlic Powder - 1 tbsp; oilve Oil - 1 tbsp
Almond Flour Wrap,Continental,"Lunch,Dinner",Veg,nut allergy,1 medium,291,640,23,23,53,12,0.7818,"Common salt - 1 tbsp; Onion, small - 1 gms; Almond Flour Roti - 1 medium; Egg, poultry, white, raw - 2 medium; Plain Water - 1 small glass; Garlic Powder - 1 tbsp; Fresh basil leaves - 1 leaf; Pepper, black - 1 tbsp; oilve Oil - 1 tbsp"
Palak Patta Chaat,North,Snacks,Veg,no-allergies,1 small bowl,1078,698,30,86,23,16,0.8538,"SPINACH - 3 number; Turmeric powder - 0.25 tbsp; Chillies, red - 0.25 tbsp; Asafoetida - 1 pinch; Common salt - 0.25 tbsp; Mustard oil - 1 tbsp; Tamarind, pulp - 0.5 tbsp; Onion, small - 0.25 cup; Tomato, ripe, hybrid - 0.25 cup; Coriander leaves - 1 tbsp; Besan - 2.5 Bowl; Plain Water - 1 small glass"
Soya Bhurji,North,"Lunch,Dinner",Veg,soy allergy,4 medium katori,335,138,14,10,4,4,0.5235,Turmeric powder - 1 tbsp; Cumin seeds - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 1 tbsp; Red chilli Power - 1 tbsp; Coriander Powder - 1 tbsp; Soya Chunks Tacos - 1 large taco; Onion Finely Chopped - 1 small onion; chopped tomato - 1 small tomato; Chopped Green Chilli - 1 tbsp; oilve Oil - 1 tbsp
Paneer Pakora,North,Snacks,Veg,dairy allergy,3 number,640,451,27,37,17,7,1.804,Turmeric powder - 1 tbsp; Cumin seeds - 1 tbsp; Common salt - 1 tbsp; Paneer - 1 cube; Besan - 1 Cup; Red chilli Power - 1 Cup; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; Plain Water - 1 small cup; oilve Oil - 1 tbsp
Paneer & Salsa Tortilla Wrap,Continental,"Lunch,Dinner",Veg,dairy allergy,1 number,289,247,13,18,12,5,0.6725,"Paneer - 50 gms; Tomato, ripe, hybrid - 0.25 cup; Capsicum, green - 0.25 cup; Onion, small - 0.25 cup; Chillies, green-1 - 1 number; Coriander leaves - 1 tbsp; Pepper, black - 0.25 tbsp; Common salt - 0.25 tbsp; Soyabean oil - 1 tbsp; Chat Masala - 1 tbsp"
VegDalia(Broken wheat),North,"Lunch,Dinner",Veg,no-allergies,1 medium katori,455,218,8,29,6,12,0.4878,"Carrot, orange - 0.25 cup; Peas, fresh - 0.25 cup; Onion, small - 50 gms; Tomato, ripe, hybrid - 50 gms; Ginger, fresh - 1 small; Chillies, green-1 - 2 number; Cumin seeds - 0.5 tbsp; Asafoetida - 1 pinch; Soyabean oil - 1 tbsp; Curry leaves - 3 number; Coriander leaves - 1 tbsp; Common salt - 0.25 tbsp; VegDalia - 1 small bowl"
Rawa Dosa,South,Breakfast,Vegan,dairy allergy,1 medium,287,642,18,95,19,19,0.3695,"Wheat, semoilna - 0.5 cup; CURDS (cow milk) - 1 tbsp; Common salt - 2 pinch; Chillies, green-1 - 1 medium; Ginger, fresh - 1 medium; Pepper, black - 0.5 tbsp; Curry leaves - 5 medium; Coriander leaves - 2 tbsp; Onion, small - 1 medium; Sunflower oil - 1 tbsp; Plain Water - 1 small glass; Cumin seeds - 1 tbsp; Rice Flour - 1 tbsp"
Chicken sizzler,Continental,Snacks,Non-veg,soy allergy,1 medium bowl,759,271,9,19,18,13,2.46825,"Chicken, poultry, breast, skinless - 2 medium; Sunflower oil - 1 tbsp; GARLIC, dry - 1 tbsp; Common salt - 2 pinch; Zucchini, yellow - 0.5 cup; Button mushroom, fresh - 0.5 cup; Carrot, orange - 0.5 cup; SOYA SAUCE - 1 tbsp; VINEGAR - 1 tbsp; Pepper, black - 1.5 tbsp"
Fish Sizzler,Continental,Snacks,Non-veg,fish allergies,1 number,590,106,7,13,3,13,1.163,"Ari fish - 1 medium; Zucchini, yellow - 0.5 cup; Carrot, orange - 0.5 cup; Garlic, small clove - 1 tbsp; Common salt - 2 pinch; Pepper, black - 1 pinch; Coriander leaves - 0.5 cup"
Bread Roll,Continental,Snacks,Veg,gluten allergy,2 number,619,85,1,3,8,2,0.5405,"Potato, brown skin, big - 3 medium; WHEAT, bread, (brown) - 2 medium; Common salt - 2 pinch; Chillies, green-1 - 2 medium; Garlic, small clove - 1 tbsp; Coriander leaves - 1 tbsp; Pepper, black - 1 tbsp; Onion, small - 1 medium; Sunflower oil - 1 tbsp; Red chilli Power - 1 tbsp; Ginger Paste - 1.5 tbsp; Plain Water - 1 small glass"
Chana Dal bada,South,Snacks,Veg,no-allergies,2 number,119,508,25,71,15,21,0.2295,"Chillies, green-1 - 1 medium; Ginger, fresh - 1 medium; Coriander seeds - 1 tbsp; FENUGREEK SEEDS - 1 tbsp; CUMIN SEEDS - 0.5 tbsp; CINNAMOM - 0.5 medium; Asafoetida - 0.5 tbsp; Curry leaves - 15 medium; Coriander leaves - 3 tbsp; Common salt - 1 tbsp; Sunflower oil - 1 tbsp; Channa Dal - 1.5 large bowl"
Channa Chat,North,Snacks,Veg,no-allergies,1 medium bowl,565,191,8,33,2,11,0.4335,"Chillies, green-1 - 1 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; Chickpea Tacos - 1 large taco; Onion Finely Chopped - 1 small onion; TREE TOMATO - 1 small katori; Cucumber - 1 small sized; Cumin seeds - 1 tbsp; Chat Masala - 1 tbsp; LEMON - 1 tbsp"
Chana Dal and Cabbage Tikki,North,Snacks,Veg,no-allergies,3 medium,95,63,1,3,5,0,0.1405,"Cabbage, green - 1 small; ONION, big - 1 medium; Chillies, green-1 - 1 medium; Common salt - 2 pinch; Sunflower oil - 1 tbsp; BENGAL GRAM, whole - 1 tbsp"
Rajma Tikki,North,Snacks,Veg,no-allergies,3 medium,522,132,5,16,5,5,0.3931,"Ginger, fresh - 0.5 tbsp; Garlic, small clove - 0.5 tbsp; Cumin seeds - 0.25 tbsp; Common salt - 0.5 tbsp; Coriander leaves - 1 tbsp; Sunflower oil - 1 tbsp; Red chilli Powder - 0.5 tbsp; Rajma (Kidney beans) Soaked - 2 small bowl; Onion Finely Chopped - 1 medium onion"
Malai Tikka,North,Snacks,Veg,dairy allergy,1 medium bowl,635,514,37,26,29,19,1.9745,"Cauliflower - 0.5 cup; Button mushroom, fresh - 0.5 cup; Paneer - 0.5 cup; CURDS (cow milk) - 2 tbsp; Cashew nut - 2 medium; Ginger, fresh - 1 small; Garlic, small clove - 1 small; Lemon, juice - 1 tbsp; Cumin seeds - 1 tbsp; Coriander seeds - 1 tbsp; Turmeric powder - 1 tbsp; Common salt - 2 pinch; Coriander leaves - 0.5 cup; Sunflower oil - 1 tbsp"
Masala Poori,South,Snacks,Veg,no-allergies,3 medium,356,356,8,53,11,10,0.3515,"Wheat, whole - 1 cup; Chillies, green-1 - 1 medium; Ginger, fresh - 0.25 medium; Turmeric powder - 0.25 pinch; CUMIN SEEDS - 0.5 tbsp; Asafoetida - 1 pinch; Common salt - 1 tbsp; Sunflower oil - 1 tbsp; Red chilli Power - 1 tbsp; Garam Masala - 1 tbsp; oilve Oil - 1 tbsp"
"Beetroot, Cucumber and Tomato Salad",Continental,Snacks,Veg,no-allergies,1 small bowl,585,88,7,11,1,5,0.3655,"Beet root - 1 medium; Cucumber, green, short - 1 small; Tomato, ripe, local - 1 small; Common salt - 1 pinch; Pepper, black - 1 pinch; Parsley - 0.5 cup"
Hung Curd Salad,Continental,Snacks,Veg,dairy allergy,1 small bowl,955,409,23,56,8,18,0.968,"CURDS (cow milk) - 0.5 cup; Cucumber, green, short - 0.5 cup; Tomato, ripe, local - 0.5 cup; Onion, small - 0.5 cup; Capsicum, green - 0.5 cup; LETTUCE TREE LEAVES, mature - 0.5 cup; Carrot, orange - 0.5 cup; Common salt - 1 pinch; Pepper, black - 1 pinch; Parsley - 0.5 cup"
